Order Date,Brand,Sneaker,Sale,Retail,Profit,ProfitPercent,Buyer Region,brand,Order,sneaker,sale_average
, Yeezy,350-V2-Blue-Tint,350,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,320,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,705,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,381,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,360,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,359,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,368,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,330,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,375,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,346,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,335,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,355,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,340,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,352,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,360,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,384,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,399,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,379,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,365,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,340,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,370,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,349,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,370,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,380,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,365,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,379,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,344,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,350,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,368,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,362,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,340,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,339,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,338,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,380,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,339,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,335,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,335,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,340,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,380,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,400,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,335,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,389,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Core-Black-Green,662,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Core-Black-Red-2017,795,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Core-Black-Red-2017,721,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Core-Black-White,715,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Core-Black-White,739,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Core-Black-White,691,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Cream-White,445,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Cream-White,465,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Cream-White,420,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Cream-White,480,220,,,,Adidas,16-Jan,,
