Brand,Sneaker,Sale,Retail,Order
 Yeezy,350-V2-Beluga-2pt0,$370,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$398,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$402,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$369,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$364,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$360,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$365,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$350,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$345,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$342,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$385,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$367,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$335,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$353,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$362,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$348,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$326,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$385,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$326,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$379,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$369,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$369,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$349,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$349,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$375,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$339,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$360,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$345,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$367,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$349,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$361,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$360,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$369,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$375,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$374,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$335,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$387,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$351,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$365,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$339,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$380,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$390,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$365,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$379,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$374,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$369,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$352,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$326,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$362,$220,18-Jan
 Yeezy,350-V2-Blue-Tint,$345,$220,18-Jan
 Yeezy,350-V2-Core-Black-Green,$603,$220,18-Jan
 Yeezy,350-V2-Core-Black-Red,$881,$220,18-Jan
 Yeezy,350-V2-Core-Black-Red-2017,$900,$220,18-Jan
 Yeezy,350-V2-Core-Black-Red-2017,$770,$220,18-Jan
 Yeezy,350-V2-Core-Black-Red-2017,$795,$220,18-Jan
 Yeezy,350-V2-Core-Black-White,$760,$220,18-Jan
 Yeezy,350-V2-Core-Black-White,$719,$220,18-Jan
 Yeezy,350-V2-Cream-White,$435,$220,18-Jan
 Yeezy,350-V2-Cream-White,$426,$220,18-Jan
 Yeezy,350-V2-Cream-White,$480,$220,18-Jan
 Yeezy,350-V2-Cream-White,$440,$220,18-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$571,$220,18-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$700,$220,18-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$781,$220,18-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$775,$220,18-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$660,$220,18-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$616,$220,18-Jan
 Yeezy,350-V2-Zebra,$508,$220,18-Jan
 Yeezy,350-V2-Zebra,$620,$220,18-Jan
 Yeezy,350-V2-Zebra,$580,$220,18-Jan
 Yeezy,350-V2-Zebra,$512,$220,18-Jan
 Yeezy,350-V2-Zebra,$536,$220,18-Jan
 Yeezy,350-V2-Zebra,$536,$220,18-Jan
 Yeezy,350-V2-Zebra,$540,$220,18-Jan
